_id,eventType,about,startDate,endDate,lat,lon,country,locality,streetAddress,administrativeArea,postalCode,show._id,show.name,show.interests,organizations._id,organizations.name
3HTre9SZZEnCxwrta,Performance,http://amargem-armazemteatral.blogspot.pt/,Fri Mar 24 2017 20:00:00 GMT+0000 (UTC),Fri Mar 24 2017 20:00:00 GMT+0000 (UTC),41.7474273,-8.863784699999997,Portugal,Carreço,Rua da sociedade 104,Distrito de Viana do Castelo,4900,sFASSKnhGioqxttxn,Confraria do Palavrão,,9s3Hs6njxjKJAoskQ,À Margem.Armazém Teatral- Carreço Viana do Castelo
ocK7btgLhFLBhczua,Performance,,Fri Mar 24 2017 20:00:00 GMT+0000 (UTC),Tue Mar 28 2017 20:00:00 GMT+0000 (UTC),38.44956880000001,-78.86891550000001,United States,Harrisonburg,,Virginia,,7sKtQZydJtQThRJvN,Body Awareness,,agv9ubiuuyRgMasSP,James Madison University
crENWBiATautwXRMG,Performance,http://www.williamstontheatre.org/2017-2018-season-2/145977-2,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sun Apr 23 2017 20:00:00 GMT+0000 (UTC),42.6886859,-84.28358459999998,United States,Williamston,122 South Putnam Street,Michigan,48895,sJ3262gaQGaSfnkCG,1984,,5877bb4117334f313edb57aa,Williamston Theatre
Db9AkvRbRAzRFX2d9,Performance,https://www.facebook.com/events/1263933957021979/,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),50.08602247787827,14.424206614494324,Czechia,Prague,Ovocný trh 579/6,Prague 1,11000,TZJHfw3QPvStEfZbR,All in the Timing,,JFsGjPZjc9wz7fwd7,Alabaster Cat - Creative House
NYjH2yELGtTYx6ktm,Performance,,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sat Apr 15 2017 20:00:00 GMT+0000 (UTC),36.15682979999999,-115.15338539999999,United States,Las Vegas,1217 South Main Street,Nevada,89104,5877bfbc17334f313edb62b5,Hand to God,,x6EGpAZPpHZrytxXc,Majestic Repertory Theatre
7tYxSQxGNi8BTxC8E,Performance,,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sat Apr 08 2017 20:00:00 GMT+0000 (UTC),40.47193,-79.92652099999998,United States,Pittsburgh,801 North Negley Avenue,Pennsylvania,15206,5P2zrAiYN2Hqe6hgM,Oedipus Rex,,5877bbc517334f313edb58d9,PICT Classic Theatre
Kc6F2DH6eFXwXsQzj,Performance,http://redtapetheatre.org/2017/02/mother-of-smoke-buy-tickets-now/,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sat Apr 15 2017 20:00:00 GMT+0000 (UTC),41.9579836,-87.65254729999998,United States,Chicago,4139 North Broadway,Illinois,60613,ZfauMCTLCzBGmN2Zv,Mother Of Smoke,,5877b9eb17334f313edb5494,Red Tape Theatre
3W3ceaWZ94XSjRdS9,Performance,https://asf.net/project/dauphin-island/,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sun Apr 09 2017 20:00:00 GMT+0000 (UTC),32.379961464357294,-86.30859375,United States,Montgomery,,Alabama,,gd3v9yQpQXPohGtoL,Dauphin Island,,5877b7a317334f313edb4f53,Alabama Shakespeare Festival
F2ZW5zNiD4SvpDa4J,Performance,https://artsemerson.org/Online/default.asp?doWork::WScontent::loadArticle=Load&BOparam::WScontent::loadArticle::article_id=B435C06D-3F30-4C38-A393-2A15CFB97D40,Thu Mar 23 2017 20:00:00 GMT+0000 (UTC),Sun Mar 26 2017 20:00:00 GMT+0000 (UTC),42.3600825,-71.05888010000001,United States,Boston,,Massachusetts,,JWsYXAd6A3qcGN2ak,Octavia E. Butler's Parable of the Sower,,5877b84217334f313edb50be,ArtsEmerson
ddb7qLitT2KgcJiCd,Performance,,Wed Mar 22 2017 20:00:00 GMT+0000 (UTC),Sun Mar 26 2017 20:00:00 GMT+0000 (UTC),40.444357,-79.95314780000001,United States,Pittsburgh,4200 Fifth Avenue,Pennsylvania,15213,5877bd0517334f313edb5bbb,Charm,,5877bab417334f313edb5666,University of Pittsburgh Stages
